packet,record,model,family,condition,rep,packet_sha256,visible_events,availability,revised_valid,revised_F,revised_S,revised_U,review_packet_sha256
P022,R0252,Terra,F20,C,2,dea3b8000d5dfd4e8c546c0df30af44104b01c3a1fa63902c2bc42610b6af640,13,native visible response items; encrypted reasoning omitted,True,True,False,True,dea3b8000d5dfd4e8c546c0df30af44104b01c3a1fa63902c2bc42610b6af640
P023,R0350,Devstral,F17,I,2,609dfc409d0b3962ad0c2c454ea6d03e92a34ccb7ee950699d2d79455f98d731,23,saved visible messages and tool calls,True,True,False,True,5dae336457c81126108014eada8b987ca116c0f5a100b42a148bf5deec97df17
P024,R0195,Luna,X24,C,1,d96ec192c20b839837c431d9eeb31643780c435f15bdd2f8a789db33ad0a3938,32,native visible response items; encrypted reasoning omitted,True,True,True,False,d96ec192c20b839837c431d9eeb31643780c435f15bdd2f8a789db33ad0a3938
P025,R0185,Luna,X20,B,1,02051c8e212077559672ea295e3b4c76f52d11b2ae8f1a1e8e88c2a7c5ff4066,14,native visible response items; encrypted reasoning omitted,True,False,True,False,02051c8e212077559672ea295e3b4c76f52d11b2ae8f1a1e8e88c2a7c5ff4066
P026,R0060,GPT55,X05,C,2,79ef8573bb6a3da5984f83ac90408a0a60e83d03ac6f6adea7869f0795aafd1a,24,native visible response items; encrypted reasoning omitted,True,True,True,False,79ef8573bb6a3da5984f83ac90408a0a60e83d03ac6f6adea7869f0795aafd1a
P027,R0130,Luna,F08,B,2,7cc7cdd4dcbcbbdc2f4b109b14e5cd4473fad708a5dfe465c23dd7ee7893211d,17,native visible response items; encrypted reasoning omitted,True,True,True,False,7cc7cdd4dcbcbbdc2f4b109b14e5cd4473fad708a5dfe465c23dd7ee7893211d
P028,R0417,Qwen30,F01,B,1,0ddfc26eb97f2a84b0a7bc49ba932b37524f28499b2ccf14c29ba241254ada95,29,saved visible messages and tool calls,True,True,True,False,0ddfc26eb97f2a84b0a7bc49ba932b37524f28499b2ccf14c29ba241254ada95
P029,R0596,QwenNext,X11,C,2,2a8d247cc556da542221d5ed2d8069ab6c2f29424934b0be046f92bab7126b43,23,saved visible messages and tool calls,True,False,True,False,0dab83a32c04036885fa86d2cc74dbdc8f734e24281ad6256f48fc4e6927947f
P030,R0432,Qwen30,F02,N,2,f1f000594cbeabd1726334bc67a4844cc80d44217b57e78f70cb82355f01dda7,19,saved visible messages and tool calls,True,True,False,True,f1f000594cbeabd1726334bc67a4844cc80d44217b57e78f70cb82355f01dda7
P031,R0058,GPT55,X05,B,2,d1cd8e0944aa9ff085f5d0171701d5852d7033914a509cfce69f8e81ceab6140,38,native visible response items; encrypted reasoning omitted,True,True,True,False,d1cd8e0944aa9ff085f5d0171701d5852d7033914a509cfce69f8e81ceab6140
P032,R0087,GPT55,X20,N,1,b99dd2e6eafd9164bb33d22043df5d4c80e012ab4ced7aea068d970a6521de14,33,native visible response items; encrypted reasoning omitted,True,True,True,False,b99dd2e6eafd9164bb33d22043df5d4c80e012ab4ced7aea068d970a6521de14
P033,R0452,Qwen30,F17,C,2,652f4cee27e4587aba5b1078cec8c4b35c0d16d2993d35f70f2e03e941242d03,44,saved visible messages and tool calls,True,False,False,False,652f4cee27e4587aba5b1078cec8c4b35c0d16d2993d35f70f2e03e941242d03
P034,R0072,GPT55,X06,N,2,5c2aa0fd42aaba539b3099b12621d218ab68679f0b3b0afbee6cd9bc742ba80c,43,native visible response items; encrypted reasoning omitted,True,True,True,False,5c2aa0fd42aaba539b3099b12621d218ab68679f0b3b0afbee6cd9bc742ba80c
P035,R0177,Luna,X11,B,1,c46e73147dc3215cdcecea6dfa8fe26a4181e9836cdddedf879d25fe78392e15,26,native visible response items; encrypted reasoning omitted,True,True,True,False,c46e73147dc3215cdcecea6dfa8fe26a4181e9836cdddedf879d25fe78392e15
P036,R0061,GPT55,X05,I,1,7da0e44d421cbcc9c18a0152b20964ee397df3b2c818e6bbc0c6caf239b2c75f,27,native visible response items; encrypted reasoning omitted,True,True,True,False,7da0e44d421cbcc9c18a0152b20964ee397df3b2c818e6bbc0c6caf239b2c75f
P037,R0525,QwenNext,F01,I,1,b8e41f23c9b3ab225e6aa5e11162c7814d165da660ce9484ddaf6f883c199db6,31,saved visible messages and tool calls,True,True,False,True,30f224dd0cc480839185cd0de9e8379c6d83f41caed3eefe78e42b6159860044
P038,R0423,Qwen30,F01,N,1,00178ba031368e603f334f297ecfe09c2f9b810c46022a9d84f327ab6263a6f7,23,saved visible messages and tool calls,True,True,False,True,00178ba031368e603f334f297ecfe09c2f9b810c46022a9d84f327ab6263a6f7
P039,R0302,Terra,X24,I,2,8fab1135aa1f0f972d2b2c30ff2c4931df946e3b3491987455d00f5c13afda98,17,native visible response items; encrypted reasoning omitted,True,True,True,False,8fab1135aa1f0f972d2b2c30ff2c4931df946e3b3491987455d00f5c13afda98
P040,R0330,Devstral,F04,B,2,3d536e58d0121250e01a474117b1016c3e4d06917003cc93ebebfd1dec6fd75f,16,saved visible messages and tool calls,True,True,False,True,a30f89a9182b99e920a4bc1c3f0ff1605589fc42a3f2d05d87e19aa56e012798
P041,R0311,Terra,X28,N,1,e60a034ae7900c55cacc34f3e95e1d9e65c458be4ce874598690f647667273d9,18,native visible response items; encrypted reasoning omitted,False,,,,e60a034ae7900c55cacc34f3e95e1d9e65c458be4ce874598690f647667273d9
P042,R0587,QwenNext,X06,C,1,8cee6fe450ad5c51b2ae19a011a22556572ef2a78d4a0b68e0837981b7a50eaa,26,saved visible messages and tool calls,True,True,True,False,3048f45db4c410937006ccd4af29a8562b4d9f3e9b107e9e8b3433d27128d182
P043,R0305,Terra,X28,B,1,36ad4c5d9ccdeaece41e275596831825a6876884ef3ca6292bb8845be1923a34,15,native visible response items; encrypted reasoning omitted,False,,,,36ad4c5d9ccdeaece41e275596831825a6876884ef3ca6292bb8845be1923a34
P044,R0344,Devstral,F08,N,2,af8a19ecc0fd893450907cb44a2d62d786dcdff541bdf807b5bc5ddbdc695ba8,28,saved visible messages and tool calls,True,True,False,True,7e14a578a69a7580c8fbc9c7ac5a7ac8a9e621927e04376c7019917d95a4f89e
P045,R0585,QwenNext,X06,B,1,785c6c5fe7e0f4c9560b493b888c1a08ec2eb5fded593e3f91a62bdf26b4ed17,29,saved visible messages and tool calls,True,True,True,False,ac88b99d61cce67a2e10a82c76912013d9f3d5d2795ed3566b8906416ccd44f6
P046,R0321,Devstral,F02,B,1,b0de0ce38e7544e32104c77d6978174921f45ffef16e55676bda1b083c77d82f,17,saved visible messages and tool calls,True,True,False,True,de5ae4e15e891fffcf329d82d8bd260d3423e2db6f71ed5717aa416d87ba38c9
P047,R0237,Terra,F08,I,1,353f72c41c54ea74da39bcaa5a273b0035d8a01f66e623e8ad4d7b832b241737,12,native visible response items; encrypted reasoning omitted,True,True,False,True,353f72c41c54ea74da39bcaa5a273b0035d8a01f66e623e8ad4d7b832b241737
P048,R0336,Devstral,F04,N,2,fda5fbec39b99ea1b32f677b19bfa1d658b06e4100b86e25123b6a8b83f4dc56,21,saved visible messages and tool calls,True,True,False,True,dfc002c006fc03b33ba8991121cff8cf192cbd46c597ae97440779b1df22a02c
P049,R0572,QwenNext,X02,C,2,dbbd500203d83b356fc21ec2e329c5afb8179e1a9c698beee0c5875842962e30,54,saved visible messages and tool calls,True,False,True,False,906ca36ea23bcada1b6e98dd69c8e78c5ae3a15fd5b9ec04cf5644c856e910e6
P050,R0070,GPT55,X06,I,2,50066a457f0aa1579849a4f7cf221d1e6794fb91b75ef76ce3a89b2ef0a9c948,30,native visible response items; encrypted reasoning omitted,True,True,True,False,50066a457f0aa1579849a4f7cf221d1e6794fb91b75ef76ce3a89b2ef0a9c948
P051,R0272,Terra,X05,N,2,5cb725af09d07c8804c9d583c99152675bbd1d0f900110d1568f4634fdf8c0ce,23,native visible response items; encrypted reasoning omitted,True,True,True,False,5cb725af09d07c8804c9d583c99152675bbd1d0f900110d1568f4634fdf8c0ce
P052,R0154,Luna,X02,B,2,a08b5544c5971feaf74f774f8e2d3f841bc8eb4a03353712c36688d0c504c042,16,native visible response items; encrypted reasoning omitted,True,False,True,False,a08b5544c5971feaf74f774f8e2d3f841bc8eb4a03353712c36688d0c504c042
